event_id,person_id,datetime,city,area,latitude,longitude,source,confidence
LOC00031,P0049,2022-06-26 09:38:50,Lucknow,Sector 30 / Border,8.153674,78.330932,Hotel Register,High
LOC00032,P0010,2023-11-23 08:56:02,Bhopal,Sector 28 / Airport,25.360946,96.636259,Cell Tower,Medium
LOC00033,P0013,2023-03-11 15:43:40,Bangalore,Sector 42 / Warehouse,15.384744,85.317643,CCTV,Low
LOC00034,P0046,2022-08-20 11:06:12,Nagpur,Sector 33 / Station,15.03893,78.605218,Border Check,High
LOC00035,P0029,2023-11-14 19:20:27,Chennai,Sector 22 / Market,17.035706,83.424855,Border Check,High
LOC00036,P0007,2024-04-22 09:31:25,Ahmedabad,Sector 3 / Airport,23.324424,80.976637,Hotel Register,Low
LOC00037,P0011,2022-10-07 18:58:35,Bangalore,Sector 44 / Station,14.213877,94.717034,Hotel Register,High
LOC00038,P0040,2023-05-13 18:53:24,Pune,Sector 38 / Warehouse,27.934741,73.935988,Immigration,High
LOC00039,P0048,2022-06-18 19:06:51,Bhopal,Sector 19 / Warehouse,24.076111,94.846632,Border Check,Medium
LOC00040,P0082,2023-11-05 05:39:03,Bhopal,Sector 34 / Station,10.269218,89.272948,Cell Tower,Low
LOC00041,P0058,2022-09-28 08:49:52,Surat,Sector 29 / Hotel,34.646171,92.178729,Cell Tower,High
LOC00042,P0017,2023-04-14 02:34:05,Delhi,Sector 7 / Border,24.662782,75.279493,CCTV,High
LOC00043,P0051,2023-09-10 15:42:05,Nagpur,Sector 33 / Warehouse,28.58928,87.909111,CCTV,Medium
LOC00044,P0030,2023-08-09 17:43:29,Surat,Sector 18 / Market,17.470013,75.884125,Immigration,High
LOC00045,P0075,2024-05-26 18:37:19,Nagpur,Sector 46 / Warehouse,24.242542,86.353556,CCTV,High
LOC00046,P0062,2022-06-22 12:05:19,Chennai,Sector 9 / Station,32.138071,76.998577,Hotel Register,Medium
LOC00047,P0011,2024-05-04 05:33:43,Bangalore,Sector 22 / Hotel,23.274194,90.540745,Border Check,Low
LOC00048,P0004,2022-04-29 01:47:15,Lucknow,Sector 23 / Border,26.454245,74.48962,CCTV,High
LOC00049,P0005,2022-11-15 20:55:37,Delhi,Sector 12 / Airport,18.854487,92.189793,CCTV,High
LOC00050,P0070,2023-01-03 08:42:41,Bhopal,Sector 37 / Hotel,27.604707,95.711907,Cell Tower,High
LOC00051,P0052,2024-06-11 07:06:41,Nagpur,Sector 22 / Market,21.823673,68.22852,Cell Tower,Low
LOC00052,P0057,2022-02-24 08:59:43,Indore,Sector 50 / Station,27.907628,78.411998,Cell Tower,High
LOC00053,P0028,2022-10-13 21:02:53,Kolkata,Sector 25 / Airport,12.0422,86.940713,Border Check,High
LOC00054,P0047,2024-05-18 16:17:51,Ahmedabad,Sector 35 / Hotel,32.585703,79.55372,Immigration,High
LOC00055,P0069,2024-03-30 13:18:48,Surat,Sector 34 / Warehouse,33.168796,70.200058,Border Check,High
LOC00056,P0020,2022-10-16 18:24:02,Hyderabad,Sector 23 / Hotel,32.164785,73.922997,Cell Tower,High
LOC00057,P0091,2022-05-30 14:09:14,Pune,Sector 22 / Station,18.566635,88.648871,Border Check,Low
LOC00058,P0012,2022-09-09 16:50:56,Mumbai,Sector 35 / Border,9.560003,77.289388,CCTV,Low
LOC00059,P0021,2023-09-28 16:17:31,Indore,Sector 47 / Airport,32.739161,82.609392,CCTV,High
LOC00060,P0073,2022-09-19 13:07:17,Pune,Sector 25 / Hotel,24.466764,82.919344,Immigration,Medium
LOC00061,P0052,2022-02-15 03:27:51,Surat,Sector 28 / Hotel,17.141265,94.621866,Cell Tower,Low
LOC00062,P0057,2023-09-10 10:14:46,Lucknow,Sector 9 / Airport,24.688935,90.220322,Border Check,High
LOC00063,P0006,2023-10-19 12:59:04,Hyderabad,Sector 40 / Hotel,23.204901,71.650754,CCTV,High
LOC00064,P0070,2024-01-28 12:07:40,Surat,Sector 24 / Warehouse,19.836261,86.620817,Hotel Register,High
LOC00065,P0095,2024-06-04 12:34:12,Hyderabad,Sector 29 / Warehouse,22.161039,87.561244,Cell Tower,High
LOC00066,P0060,2023-07-18 13:20:34,Mumbai,Sector 35 / Market,20.314852,95.724866,CCTV,High
LOC00067,P0006,2024-05-06 13:21:19,Chennai,Sector 21 / Border,16.572972,79.305127,Cell Tower,High
LOC00068,P0051,2023-12-24 17:42:48,Hyderabad,Sector 8 / Station,32.743822,72.145837,Border Check,High
LOC00069,P0027,2022-03-01 09:48:11,Indore,Sector 7 / Market,14.23452,85.239573,Immigration,High
LOC00070,P0004,2023-10-21 17:28:36,Chennai,Sector 46 / Warehouse,13.802554,88.968101,CCTV,High
LOC00071,P0030,2022-12-10 14:53:44,Hyderabad,Sector 37 / Warehouse,13.878642,82.335324,Cell Tower,Medium
LOC00072,P0077,2022-03-24 05:38:08,Delhi,Sector 38 / Warehouse,24.767278,85.953556,CCTV,High
LOC00073,P0030,2023-03-31 00:47:18,Hyderabad,Sector 21 / Border,31.823117,88.690593,Immigration,Medium
LOC00074,P0007,2023-04-29 22:18:38,Surat,Sector 41 / Market,32.980513,70.344054,Border Check,High
LOC00075,P0069,2022-07-21 13:37:27,Bangalore,Sector 48 / Airport,24.826599,83.83497,Border Check,Low
LOC00076,P0072,2022-03-31 07:35:00,Hyderabad,Sector 45 / Market,27.284953,74.325034,Border Check,High
LOC00077,P0031,2024-02-07 14:47:49,Pune,Sector 13 / Warehouse,18.923829,76.676096,CCTV,Medium
LOC00078,P0064,2023-02-28 02:38:18,Bhopal,Sector 24 / Border,10.355279,87.418905,Hotel Register,High
LOC00079,P0065,2023-10-23 02:00:25,Mumbai,Sector 45 / Hotel,24.264117,87.18241,Border Check,High
LOC00080,P0022,2022-03-07 23:39:31,Hyderabad,Sector 48 / Hotel,23.644402,94.434362,Hotel Register,High
LOC00081,P0083,2022-05-31 01:04:58,Bhopal,Sector 3 / Warehouse,23.107672,91.009239,CCTV,High
LOC00082,P0062,2022-08-24 04:46:51,Bangalore,Sector 10 / Warehouse,32.162214,92.632442,Cell Tower,Medium
LOC00083,P0095,2023-06-16 07:51:02,Jaipur,Sector 6 / Hotel,32.035825,76.960479,CCTV,High
LOC00084,P0066,2022-07-28 09:48:17,Lucknow,Sector 17 / Station,17.160822,82.086987,Border Check,Medium
LOC00085,P0077,2022-11-04 02:51:31,Nagpur,Sector 33 / Airport,22.821158,81.790869,Cell Tower,High
LOC00086,P0020,2023-08-21 04:32:42,Hyderabad,Sector 41 / Station,10.20303,85.486752,Hotel Register,Low
LOC00087,P0009,2024-06-05 02:00:18,Ahmedabad,Sector 42 / Station,27.951574,80.894433,Immigration,High
LOC00088,P0031,2022-04-03 00:42:47,Chennai,Sector 10 / Airport,11.89716,69.335912,Immigration,Low
LOC00089,P0027,2022-02-27 12:48:10,Mumbai,Sector 28 / Hotel,15.922638,93.974068,Immigration,Low
LOC00090,P0060,2023-03-19 21:58:34,Nagpur,Sector 40 / Border,10.36005,81.601827,Cell Tower,Low
LOC00091,P0090,2023-07-31 13:08:46,Bangalore,Sector 2 / Airport,12.593828,85.014613,Hotel Register,High
LOC00092,P0008,2023-12-07 09:04:03,Mumbai,Sector 47 / Market,22.231899,95.489058,Hotel Register,High
LOC00093,P0028,2023-02-01 11:06:07,Delhi,Sector 31 / Border,23.053574,92.504057,Hotel Register,High
LOC00094,P0041,2024-03-24 16:32:01,Bangalore,Sector 3 / Airport,24.439879,80.079935,CCTV,Medium
LOC00095,P0036,2023-08-01 00:23:53,Pune,Sector 3 / Hotel,16.115374,86.663354,Hotel Register,High
LOC00096,P0061,2022-01-15 08:08:51,Surat,Sector 4 / Airport,20.942935,92.351216,Immigration,Low
LOC00097,P0072,2024-04-21 14:21:59,Lucknow,Sector 9 / Border,14.05747,72.7967,Immigration,Medium
LOC00098,P0038,2022-08-27 07:43:12,Mumbai,Sector 21 / Hotel,25.607091,92.98929,CCTV,High
LOC00099,P0028,2024-02-06 15:00:01,Jaipur,Sector 10 / Station,30.285038,77.212082,Border Check,High
LOC00100,P0043,2024-05-29 00:27:11,Nagpur,Sector 30 / Airport,26.069248,89.507318,Hotel Register,Low
LOC00101,P0007,2024-05-28 16:12:10,Lucknow,Sector 33 / Border,31.028238,75.652146,Cell Tower,High
LOC00102,P0040,2022-12-16 08:14:51,Hyderabad,Sector 46 / Airport,23.792305,71.256748,Immigration,High
LOC00103,P0040,2022-12-21 21:20:28,Indore,Sector 47 / Airport,25.576189,86.159698,Border Check,High
LOC00104,P0030,2022-10-06 00:13:57,Delhi,Sector 3 / Warehouse,25.956847,94.625909,Hotel Register,High
LOC00105,P0065,2023-01-04 21:32:22,Mumbai,Sector 16 / Airport,8.086718,93.318653,Border Check,High
LOC00106,P0047,2023-07-03 21:02:46,Indore,Sector 48 / Hotel,29.703056,76.003782,CCTV,Medium
LOC00107,P0100,2023-03-30 06:15:13,Hyderabad,Sector 5 / Station,29.98702,92.205136,Border Check,Low
LOC00108,P0095,2024-05-26 11:21:25,Indore,Sector 50 / Hotel,17.207456,87.072818,Border Check,High
LOC00109,P0002,2023-06-29 00:23:12,Bhopal,Sector 35 / Warehouse,16.021945,82.38207,Immigration,High
LOC00110,P0058,2023-01-14 02:13:54,Ahmedabad,Sector 12 / Warehouse,15.559636,77.433514,Immigration,High
LOC00111,P0088,2024-06-18 19:06:16,Kolkata,Sector 28 / Market,24.994473,69.292972,Hotel Register,High
LOC00112,P0094,2023-08-27 16:59:14,Jaipur,Sector 18 / Market,8.149588,91.828287,CCTV,Low
LOC00113,P0081,2022-04-13 23:01:35,Delhi,Sector 47 / Warehouse,13.951178,71.183647,Cell Tower,High
LOC00114,P0040,2023-09-14 23:36:27,Indore,Sector 13 / Station,10.573954,78.42263,Border Check,Low
LOC00115,P0042,2022-04-15 15:20:08,Hyderabad,Sector 35 / Border,10.701342,73.362951,Border Check,Medium
LOC00116,P0003,2023-11-18 01:02:08,Bhopal,Sector 21 / Hotel,13.327712,92.335586,Hotel Register,High
LOC00117,P0069,2022-12-18 01:40:02,Hyderabad,Sector 12 / Station,23.137193,95.640766,Hotel Register,High
LOC00118,P0086,2023-08-29 15:23:41,Lucknow,Sector 32 / Warehouse,21.953639,75.574386,Border Check,High
LOC00119,P0045,2023-10-06 17:59:43,Mumbai,Sector 3 / Warehouse,30.518616,91.332685,Hotel Register,High
LOC00120,P0015,2022-11-05 18:08:55,Bhopal,Sector 35 / Warehouse,21.784339,70.106785,Border Check,Medium
LOC00121,P0037,2023-04-25 20:37:59,Jaipur,Sector 12 / Border,25.349809,80.066207,Border Check,High
LOC00122,P0001,2023-01-13 02:53:51,Kolkata,Sector 24 / Warehouse,25.549519,68.161692,Hotel Register,Medium
LOC00123,P0092,2024-01-25 23:14:00,Hyderabad,Sector 19 / Station,14.753997,75.901079,CCTV,Medium
LOC00124,P0073,2023-06-08 04:44:24,Lucknow,Sector 34 / Border,15.903466,74.394214,Cell Tower,High
LOC00125,P0015,2023-10-08 00:09:38,Chennai,Sector 2 / Station,34.468503,69.468899,CCTV,High
LOC00126,P0029,2022-04-03 02:07:41,Ahmedabad,Sector 20 / Market,21.272524,78.837513,Immigration,Low
LOC00127,P0069,2023-03-24 05:04:54,Nagpur,Sector 27 / Station,14.813455,76.864049,Hotel Register,High
LOC00128,P0008,2022-08-07 09:59:16,Kolkata,Sector 49 / Warehouse,32.389974,96.2013,Hotel Register,High
LOC00129,P0066,2022-08-23 17:09:33,Bangalore,Sector 41 / Hotel,23.074587,94.80277,CCTV,High
LOC00130,P0059,2022-03-29 18:56:20,Bhopal,Sector 44 / Hotel,22.455277,90.41918,Cell Tower,High
LOC00131,P0019,2022-05-05 09:24:14,Jaipur,Sector 23 / Airport,15.943888,83.487089,Cell Tower,Low
LOC00132,P0028,2023-10-09 22:58:49,Nagpur,Sector 35 / Border,12.784764,74.069115,Border Check,High
LOC00133,P0068,2024-02-22 04:48:08,Hyderabad,Sector 31 / Market,16.429036,75.58599,Border Check,Low
LOC00134,P0089,2022-01-30 05:24:22,Chennai,Sector 22 / Hotel,16.74054,73.236147,Hotel Register,High
LOC00135,P0022,2024-01-09 23:15:07,Hyderabad,Sector 2 / Hotel,10.684487,78.2737,Hotel Register,High
LOC00136,P0042,2023-11-30 02:16:15,Surat,Sector 43 / Hotel,22.0931,73.098978,Border Check,Low
LOC00137,P0082,2024-05-06 08:57:37,Nagpur,Sector 3 / Hotel,23.476699,87.043745,Cell Tower,High
LOC00138,P0069,2023-10-19 02:46:12,Indore,Sector 10 / Airport,28.510191,79.786706,CCTV,Medium
LOC00139,P0053,2022-08-26 06:22:16,Mumbai,Sector 29 / Station,29.501369,75.170153,CCTV,High
LOC00140,P0099,2022-11-26 11:48:52,Kolkata,Sector 49 / Warehouse,18.549932,76.432946,Immigration,High
LOC00141,P0034,2024-05-25 20:22:29,Mumbai,Sector 30 / Warehouse,10.990292,84.190408,Cell Tower,Medium
LOC00142,P0073,2022-05-28 21:41:59,Bangalore,Sector 13 / Hotel,30.718435,80.008346,Border Check,Medium
LOC00143,P0090,2023-10-17 08:06:37,Mumbai,Sector 1 / Hotel,28.450237,94.689978,Cell Tower,Medium
LOC00144,P0041,2023-04-09 08:23:26,Bhopal,Sector 23 / Hotel,25.561626,85.519092,Hotel Register,High
LOC00145,P0063,2024-06-10 06:14:30,Pune,Sector 45 / Station,19.217855,92.558536,Border Check,Medium
LOC00146,P0097,2023-05-23 03:11:06,Hyderabad,Sector 19 / Border,14.58709,82.472363,CCTV,Medium
LOC00147,P0068,2024-04-05 00:16:10,Hyderabad,Sector 50 / Hotel,32.929106,79.383866,Border Check,High
LOC00148,P0009,2022-07-01 12:22:44,Delhi,Sector 21 / Border,15.596537,75.661841,Hotel Register,High
LOC00149,P0051,2023-05-18 07:20:09,Pune,Sector 7 / Border,8.434831,75.167557,CCTV,High
LOC00150,P0065,2023-04-13 08:49:00,Ahmedabad,Sector 40 / Station,28.647562,87.89569,Border Check,Medium
LOC00151,P0079,2024-06-15 22:25:17,Surat,Sector 31 / Hotel,33.299189,78.551494,Immigration,Medium
LOC00152,P0050,2024-03-30 03:47:20,Bangalore,Sector 19 / Station,27.033878,80.085803,Cell Tower,Low
LOC00153,P0011,2023-07-06 19:52:41,Lucknow,Sector 11 / Border,27.83456,69.783863,Border Check,Low
LOC00154,P0009,2022-04-05 13:24:28,Ahmedabad,Sector 15 / Station,29.383967,71.489912,Cell Tower,Low
LOC00155,P0045,2022-10-11 02:19:16,Ahmedabad,Sector 32 / Border,27.900093,68.699499,Hotel Register,Medium
LOC00156,P0029,2023-03-30 23:50:24,Hyderabad,Sector 38 / Border,24.151534,88.183447,Border Check,Low
LOC00157,P0052,2024-03-22 08:15:36,Bangalore,Sector 27 / Warehouse,32.449336,89.84517,Border Check,High
LOC00158,P0005,2023-08-27 16:11:13,Jaipur,Sector 46 / Station,25.267767,91.890072,Immigration,High
LOC00159,P0061,2023-05-18 06:42:40,Lucknow,Sector 24 / Border,13.967037,73.368131,CCTV,Low
LOC00160,P0071,2022-04-16 23:24:09,Nagpur,Sector 25 / Warehouse,34.123948,84.634261,Cell Tower,Low
LOC00161,P0029,2024-01-28 21:07:59,Kolkata,Sector 4 / Airport,30.810907,91.104836,Immigration,Low
LOC00162,P0028,2022-11-04 13:33:21,Chennai,Sector 1 / Market,24.745857,81.002128,Hotel Register,Low
LOC00163,P0097,2024-02-21 18:10:37,Bhopal,Sector 15 / Warehouse,18.764237,96.838542,CCTV,Low
LOC00164,P0053,2022-06-07 23:44:39,Indore,Sector 3 / Hotel,20.01213,93.734358,Border Check,Low
LOC00165,P0070,2022-08-26 20:51:56,Pune,Sector 28 / Warehouse,28.10106,81.135107,Cell Tower,High
LOC00166,P0080,2023-01-30 07:55:23,Pune,Sector 9 / Border,14.444435,68.33266,Cell Tower,Medium
LOC00167,P0048,2022-09-20 00:41:35,Delhi,Sector 18 / Market,27.152205,95.650293,Border Check,High
LOC00168,P0013,2023-04-16 10:58:09,Mumbai,Sector 35 / Warehouse,11.538518,91.505962,Cell Tower,High
LOC00169,P0064,2024-05-22 20:58:37,Jaipur,Sector 43 / Hotel,27.610884,83.574054,Cell Tower,High
LOC00170,P0067,2023-01-18 13:45:04,Bangalore,Sector 27 / Border,15.046234,93.738904,Immigration,High
LOC00171,P0017,2022-01-27 04:10:57,Lucknow,Sector 12 / Warehouse,16.124221,92.387609,Cell Tower,High
LOC00172,P0090,2022-11-30 02:30:44,Pune,Sector 24 / Hotel,19.688256,79.867852,Border Check,Low
LOC00173,P0046,2024-04-13 01:19:58,Jaipur,Sector 14 / Hotel,29.936427,73.83204,Immigration,High
LOC00174,P0026,2024-01-18 16:16:01,Bhopal,Sector 40 / Hotel,27.220316,73.430035,Cell Tower,High
LOC00175,P0059,2024-02-24 08:36:35,Pune,Sector 24 / Border,19.998923,93.570525,Border Check,Low
LOC00176,P0027,2022-11-19 18:35:16,Indore,Sector 4 / Warehouse,26.417178,93.798386,Cell Tower,High
LOC00177,P0093,2022-11-26 09:29:09,Indore,Sector 4 / Hotel,11.602088,75.768476,Cell Tower,Medium
LOC00178,P0019,2023-02-27 14:45:38,Ahmedabad,Sector 17 / Border,10.990896,85.521569,CCTV,Low
LOC00179,P0053,2022-02-14 15:14:56,Lucknow,Sector 46 / Market,27.605976,69.334547,CCTV,Low
LOC00180,P0073,2023-04-27 12:24:42,Jaipur,Sector 3 / Market,12.83071,68.398044,Border Check,Low
LOC00181,P0040,2022-05-14 06:32:10,Nagpur,Sector 9 / Station,17.278785,73.239637,CCTV,Medium
LOC00182,P0013,2022-09-24 10:41:45,Bangalore,Sector 26 / Station,25.10104,71.149681,CCTV,High
LOC00183,P0047,2024-04-12 20:52:01,Chennai,Sector 37 / Airport,10.859603,93.636773,Immigration,Low
LOC00184,P0043,2022-12-23 05:21:44,Chennai,Sector 21 / Market,20.005418,79.294968,Cell Tower,High
LOC00185,P0054,2024-05-18 19:20:01,Chennai,Sector 39 / Warehouse,31.626049,79.820707,Immigration,Low
LOC00186,P0048,2023-05-18 04:03:46,Bhopal,Sector 43 / Warehouse,13.173116,94.080178,Hotel Register,High
LOC00187,P0002,2022-04-14 09:15:51,Pune,Sector 12 / Hotel,21.51087,78.619677,Immigration,Medium
LOC00188,P0058,2023-09-07 21:37:52,Delhi,Sector 2 / Border,24.137642,89.144597,Immigration,High
LOC00189,P0071,2022-05-12 07:50:53,Ahmedabad,Sector 31 / Market,9.616587,76.795722,CCTV,Low
LOC00190,P0013,2022-04-18 07:42:27,Bhopal,Sector 17 / Border,22.591366,85.817283,Cell Tower,Low
LOC00191,P0066,2023-07-06 00:12:38,Kolkata,Sector 7 / Station,25.400253,81.357586,Cell Tower,High
LOC00192,P0044,2023-11-19 17:47:31,Hyderabad,Sector 22 / Market,27.41094,82.704853,Immigration,Medium
LOC00193,P0028,2024-02-18 08:11:53,Surat,Sector 37 / Border,25.317448,69.561122,Immigration,Low
LOC00194,P0094,2024-03-15 15:12:14,Nagpur,Sector 33 / Market,31.413486,75.330817,CCTV,Medium
LOC00195,P0086,2022-07-18 05:41:58,Indore,Sector 50 / Warehouse,19.281667,87.888239,Immigration,Medium
LOC00196,P0082,2022-05-07 00:52:16,Chennai,Sector 50 / Station,33.463772,91.607738,CCTV,High
LOC00197,P0090,2023-12-01 17:24:23,Indore,Sector 35 / Border,12.699825,94.33295,Border Check,High
LOC00198,P0034,2023-05-13 16:04:39,Lucknow,Sector 15 / Airport,31.19066,94.020094,CCTV,Medium
LOC00199,P0057,2022-10-17 12:29:20,Bhopal,Sector 32 / Station,12.562169,77.184368,Hotel Register,High
LOC00200,P0043,2022-03-13 14:59:12,Pune,Sector 6 / Station,15.555318,72.339435,Immigration,Low
LOC00201,P0074,2022-09-16 15:51:44,Bangalore,Sector 45 / Border,34.748482,81.411093,CCTV,High
LOC00202,P0042,2023-12-31 06:45:02,Bhopal,Sector 3 / Airport,32.566522,83.100664,Hotel Register,High
LOC00203,P0058,2023-05-17 06:17:03,Bangalore,Sector 26 / Hotel,30.585013,82.221369,Hotel Register,Medium
LOC00204,P0015,2024-03-03 05:24:12,Hyderabad,Sector 46 / Warehouse,8.150865,92.762296,CCTV,Medium
LOC00205,P0008,2023-10-19 18:08:08,Lucknow,Sector 40 / Hotel,13.457712,85.123434,Border Check,High
LOC00206,P0098,2022-07-31 14:01:16,Hyderabad,Sector 43 / Airport,29.276475,69.204073,Immigration,Low
LOC00207,P0003,2022-06-18 19:19:12,Jaipur,Sector 3 / Border,11.766977,81.266639,Hotel Register,Medium
LOC00208,P0016,2023-08-11 11:52:07,Bangalore,Sector 40 / Border,26.196363,96.879573,Immigration,Medium
LOC00209,P0043,2023-01-28 15:39:46,Lucknow,Sector 16 / Market,18.244245,93.372452,Border Check,Low
LOC00210,P0066,2022-07-20 23:45:18,Pune,Sector 35 / Border,30.009859,90.566984,Hotel Register,Low
LOC00211,P0096,2022-05-17 16:53:03,Mumbai,Sector 27 / Hotel,30.666635,78.109536,Hotel Register,High
LOC00212,P0016,2022-02-06 22:52:38,Mumbai,Sector 49 / Airport,13.725281,79.533622,CCTV,Medium
LOC00213,P0049,2023-02-05 15:45:35,Nagpur,Sector 44 / Airport,24.56112,89.877507,Border Check,Medium
LOC00214,P0010,2024-04-29 04:38:09,Mumbai,Sector 41 / Hotel,26.486124,83.070318,CCTV,Medium
LOC00215,P0022,2022-08-06 17:40:42,Indore,Sector 21 / Warehouse,12.884925,81.078006,Cell Tower,Medium
LOC00216,P0089,2023-01-02 09:22:02,Indore,Sector 33 / Airport,16.723649,83.681302,Hotel Register,High
LOC00217,P0050,2022-02-21 09:15:37,Ahmedabad,Sector 36 / Border,21.906154,83.656537,Immigration,Medium
LOC00218,P0080,2024-05-02 17:55:56,Bhopal,Sector 20 / Airport,30.811235,79.472597,Border Check,Low
LOC00219,P0075,2022-02-05 18:40:23,Nagpur,Sector 39 / Airport,9.308694,87.70745,Border Check,High
LOC00220,P0073,2023-08-11 19:01:11,Lucknow,Sector 1 / Border,20.553522,73.625849,Immigration,High
LOC00221,P0043,2022-01-21 05:37:14,Hyderabad,Sector 14 / Station,33.743809,91.128305,Cell Tower,Low
LOC00222,P0008,2022-05-25 18:31:37,Kolkata,Sector 9 / Airport,14.319921,76.919817,Border Check,Low
LOC00223,P0076,2022-04-17 07:09:23,Bhopal,Sector 15 / Station,11.77736,78.367183,Immigration,Medium
LOC00224,P0099,2024-03-10 22:01:19,Bhopal,Sector 49 / Market,19.405792,82.100437,Border Check,High
LOC00225,P0013,2023-11-19 03:05:47,Bangalore,Sector 49 / Airport,16.12923,75.875156,Immigration,Medium
LOC00226,P0002,2023-11-25 09:48:26,Bangalore,Sector 45 / Market,8.494009,88.046913,Cell Tower,High
LOC00227,P0001,2022-04-15 07:56:30,Jaipur,Sector 32 / Warehouse,23.675258,89.569336,Border Check,High
LOC00228,P0080,2023-10-08 10:06:45,Bhopal,Sector 20 / Warehouse,33.646793,79.418985,Cell Tower,High
LOC00229,P0064,2022-02-28 09:02:15,Bangalore,Sector 41 / Station,33.400888,90.871496,CCTV,Medium
LOC00230,P0039,2022-04-16 05:04:28,Delhi,Sector 36 / Airport,33.7767,95.922375,Border Check,Medium
LOC00231,P0026,2022-03-13 08:21:23,Pune,Sector 3 / Market,12.222056,68.459314,Border Check,High
LOC00232,P0021,2023-03-22 17:55:27,Lucknow,Sector 28 / Border,19.843025,79.118809,Cell Tower,High
LOC00233,P0049,2022-07-31 04:02:36,Hyderabad,Sector 19 / Hotel,28.089617,79.786941,Hotel Register,High
LOC00234,P0011,2023-08-16 21:38:00,Ahmedabad,Sector 45 / Hotel,20.747549,96.679261,CCTV,High
LOC00235,P0097,2023-01-25 03:59:32,Chennai,Sector 31 / Market,29.168599,88.458759,Cell Tower,High
LOC00236,P0080,2022-09-30 12:29:34,Bangalore,Sector 50 / Station,10.407134,96.101474,Cell Tower,Medium
LOC00237,P0021,2024-03-01 00:32:51,Kolkata,Sector 34 / Warehouse,12.745309,72.099374,Hotel Register,High
LOC00238,P0080,2024-05-04 18:27:54,Pune,Sector 41 / Warehouse,16.239247,88.840021,Cell Tower,Low
